# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   8.06000       102.104       179.908       206.862      0.238606E-02 -0.420423E-02  0.483413E-02   8.75754    
   8.07000       102.554       182.198       209.078      0.234605E-02 -0.416800E-02  0.478290E-02   8.90015    
   8.08000       103.006       184.493       211.300      0.230708E-02 -0.413217E-02  0.473260E-02   9.04379    
   8.09000       103.461       186.787       213.526      0.226920E-02 -0.409679E-02  0.468327E-02   9.18812    
   8.10000       103.917       189.075       215.750      0.223245E-02 -0.406193E-02  0.463499E-02   9.33277    
   8.11000       104.375       191.372       217.984      0.219656E-02 -0.402742E-02  0.458748E-02   9.47867    
   8.12000       104.836       193.671       220.225      0.216160E-02 -0.399330E-02  0.454081E-02   9.62544    
   8.13000       105.298       195.968       222.467      0.212761E-02 -0.395965E-02  0.449506E-02   9.77274    
   8.14000       105.763       198.274       224.718      0.209439E-02 -0.392635E-02  0.445002E-02   9.92127    
   8.15000       106.231       200.580       226.974      0.206205E-02 -0.389345E-02  0.440579E-02   10.0705    
   8.16000       106.700       202.884       229.231      0.203057E-02 -0.386101E-02  0.436241E-02   10.2202    
   8.17000       107.172       205.194       231.496      0.199984E-02 -0.382893E-02  0.431973E-02   10.3709    
   8.18000       107.646       207.504       233.764      0.196989E-02 -0.379727E-02  0.427782E-02   10.5223    
   8.19000       108.122       209.814       236.034      0.194072E-02 -0.376603E-02  0.423667E-02   10.6742    
   8.20000       108.601       212.133       238.316      0.191218E-02 -0.373509E-02  0.419610E-02   10.8273    
   8.21000       109.082       214.448       240.597      0.188440E-02 -0.370461E-02  0.415633E-02   10.9808    
   8.22000       109.565       216.766       242.883      0.185729E-02 -0.367449E-02  0.411721E-02   11.1349    
   8.23000       110.051       219.089       245.176      0.183079E-02 -0.364472E-02  0.407870E-02   11.2900    
   8.24000       110.539       221.415       247.474      0.180492E-02 -0.361532E-02  0.404083E-02   11.4458    
   8.25000       111.030       223.740       249.775      0.177968E-02 -0.358631E-02  0.400361E-02   11.6021    
   8.26000       111.523       226.070       252.081      0.175502E-02 -0.355764E-02  0.396698E-02   11.7592    
   8.27000       112.018       228.398       254.389      0.173098E-02 -0.352936E-02  0.393099E-02   11.9166    
   8.28000       112.516       230.730       256.703      0.170746E-02 -0.350142E-02  0.389556E-02   12.0749    
   8.29000       113.016       233.070       259.025      0.168444E-02 -0.347377E-02  0.386063E-02   12.2341    
   8.30000       113.518       235.404       261.345      0.166202E-02 -0.344655E-02  0.382636E-02   12.3933    
   8.31000       114.024       237.752       263.680      0.163999E-02 -0.341954E-02  0.379247E-02   12.5540    
   8.32000       114.531       240.088       266.006      0.161859E-02 -0.339301E-02  0.375931E-02   12.7143    
   8.33000       115.042       242.440       268.351      0.159754E-02 -0.336666E-02  0.372647E-02   12.8762    
